Distance to run: 100, step: 1
0:(x,y) = (-0.62932 , -0.777146)
1:(x,y) = (-1.61959 , -0.637973)
2:(x,y) = (-2.53313 , -0.231236)
3:(x,y) = (-1.7345 , -0.833051)
4:(x,y) = (-1.54369 , -1.81468)
5:(x,y) = (-2.52532 , -2.00549)
6:(x,y) = (-1.64237 , -2.47496)
7:(x,y) = (-2.27169 , -1.69781)
8:(x,y) = (-3.20527 , -1.33945)
9:(x,y) = (-2.92963 , -2.30071)
10:(x,y) = (-2.89473 , -3.3001)
11:(x,y) = (-3.80828 , -2.89336)
12:(x,y) = (-3.46626 , -3.83305)
13:(x,y) = (-2.60023 , -4.33305)
14:(x,y) = (-2.10023 , -5.19908)
15:(x,y) = (-2.11769 , -4.19923)
16:(x,y) = (-1.61769 , -5.06526)
17:(x,y) = (-0.788648 , -4.50606)
18:(x,y) = (-0.258728 , -3.65802)
19:(x,y) = (0.472625 , -4.34001)
20:(x,y) = (0.798193 , -5.28553)
21:(x,y) = (-0.067832 , -5.78553)
22:(x,y) = (0.698212 , -5.14275)
23:(x,y) = (0.0162141 , -4.41139)
24:(x,y) = (0.589791 , -3.59224)
25:(x,y) = (1.39881 , -4.18002)
26:(x,y) = (1.78954 , -3.25952)
27:(x,y) = (2.74584 , -2.96715)
28:(x,y) = (2.64131 , -3.96167)
29:(x,y) = (3.64071 , -3.92677)
30:(x,y) = (2.67041 , -3.68485)
31:(x,y) = (3.66296 , -3.56298)
32:(x,y) = (2.66843 , -3.45845)
33:(x,y) = (1.69814 , -3.70037)
34:(x,y) = (2.56416 , -4.20037)
35:(x,y) = (2.45964 , -3.20585)
36:(x,y) = (3.36594 , -2.78323)
37:(x,y) = (2.37142 , -2.6787)
38:(x,y) = (2.24955 , -1.68616)
39:(x,y) = (2.80874 , -0.85712)
40:(x,y) = (2.61794 , 0.124507)
41:(x,y) = (3.60562 , 0.280941)
42:(x,y) = (2.76695 , -0.263698)
43:(x,y) = (2.64508 , -1.25624)
44:(x,y) = (1.78792 , -1.77128)
45:(x,y) = (2.69422 , -1.34866)
46:(x,y) = (2.01223 , -2.08002)
47:(x,y) = (1.12928 , -1.61055)
48:(x,y) = (1.48765 , -2.54413)
49:(x,y) = (1.74647 , -3.51005)
50:(x,y) = (1.4209 , -2.56453)
51:(x,y) = (1.386 , -1.56514)
52:(x,y) = (2.37854 , -1.44327)
53:(x,y) = (3.31212 , -1.08491)
54:(x,y) = (2.60502 , -1.79201)
55:(x,y) = (3.02764 , -2.69832)
56:(x,y) = (3.99793 , -2.94024)
57:(x,y) = (4.37254 , -3.86743)
58:(x,y) = (5.04167 , -4.61057)
59:(x,y) = (4.69965 , -5.55026)
60:(x,y) = (5.12227 , -6.45657)
61:(x,y) = (6.10708 , -6.63022)
62:(x,y) = (5.88212 , -7.60459)
63:(x,y) = (6.82764 , -7.93016)
64:(x,y) = (5.83145 , -8.01731)
65:(x,y) = (5.6578 , -7.03251)
66:(x,y) = (5.88275 , -6.05814)
67:(x,y) = (6.02192 , -5.06787)
68:(x,y) = (6.09168 , -6.06543)
69:(x,y) = (6.78634 , -5.34609)
70:(x,y) = (6.03163 , -4.69003)
71:(x,y) = (5.6409 , -5.61054)
72:(x,y) = (5.93327 , -6.56684)
73:(x,y) = (5.21393 , -7.2615)
74:(x,y) = (4.33931 , -6.77669)
75:(x,y) = (5.32094 , -6.58588)
76:(x,y) = (4.8059 , -5.72871)
77:(x,y) = (5.75696 , -5.4197)
78:(x,y) = (4.80065 , -5.12733)
79:(x,y) = (5.41631 , -4.33931)
80:(x,y) = (5.96095 , -5.17799)
81:(x,y) = (5.15193 , -4.5902)
82:(x,y) = (4.34292 , -4.00241)
83:(x,y) = (3.34429 , -4.05475)
84:(x,y) = (2.37399 , -3.81283)
85:(x,y) = (3.3588 , -3.63918)
86:(x,y) = (2.88933 , -2.75623)
87:(x,y) = (2.00638 , -2.28676)
88:(x,y) = (1.01186 , -2.18223)
89:(x,y) = (1.54178 , -3.03028)
90:(x,y) = (1.61153 , -4.02785)
91:(x,y) = (1.28597 , -3.08233)
92:(x,y) = (1.66057 , -4.00951)
93:(x,y) = (0.672885 , -3.85308)
94:(x,y) = (0.655433 , -2.85323)
95:(x,y) = (1.63706 , -3.04404)
96:(x,y) = (0.838424 , -2.44222)
97:(x,y) = (1.60447 , -1.79943)
98:(x,y) = (1.91349 , -0.848378)
99:(x,y) = (2.25551 , -1.78807)
100:(x,y) = (3.01022 , -2.44413)
101:(x,y) = (2.15305 , -2.95917)
102:(x,y) = (1.15442 , -2.90683)
103:(x,y) = (0.684947 , -2.02388)
104:(x,y) = (0.943766 , -1.05796)
105:(x,y) = (1.79181 , -1.58788)
106:(x,y) = (1.16249 , -0.810732)
107:(x,y) = (0.201232 , -1.08637)
108:(x,y) = (1.17153 , -1.32829)
109:(x,y) = (1.54613 , -2.25548)
110:(x,y) = (1.04613 , -1.38945)
111:(x,y) = (0.0950778 , -1.08043)
112:(x,y) = (0.724398 , -1.85758)
113:(x,y) = (0.00505841 , -1.16292)
114:(x,y) = (-0.793577 , -1.76474)
115:(x,y) = (-1.2162 , -0.858428)
116:(x,y) = (-0.265139 , -0.549411)
117:(x,y) = (0.641169 , -0.972029)
118:(x,y) = (-0.113541 , -0.31597)
119:(x,y) = (-1.08791 , -0.540921)
120:(x,y) = (-0.966041 , -1.53347)
121:(x,y) = (-0.364226 , -0.734831)
122:(x,y) = (-1.35875 , -0.630303)
123:(x,y) = (-1.20231 , 0.357385)
124:(x,y) = (-1.30684 , 1.35191)
125:(x,y) = (-2.0382 , 2.03391)
126:(x,y) = (-1.71263 , 2.97942)
127:(x,y) = (-2.21263 , 2.1134)
128:(x,y) = (-1.56984 , 2.87944)
129:(x,y) = (-2.36848 , 3.48126)
130:(x,y) = (-3.35328 , 3.65491)
131:(x,y) = (-2.3656 , 3.81134)
132:(x,y) = (-3.06025 , 3.092)
133:(x,y) = (-2.08588 , 2.86705)
134:(x,y) = (-1.08604 , 2.8496)
135:(x,y) = (-2.07858 , 2.97147)
136:(x,y) = (-3.06885 , 2.83229)
137:(x,y) = (-3.69817 , 3.60944)
138:(x,y) = (-4.18298 , 2.73482)
139:(x,y) = (-3.48832 , 3.45416)
140:(x,y) = (-3.09759 , 2.53366)
141:(x,y) = (-2.09774 , 2.55111)
142:(x,y) = (-1.92409 , 3.53592)
143:(x,y) = (-2.39357 , 2.65297)
144:(x,y) = (-3.12492 , 3.33497)
145:(x,y) = (-2.67093 , 2.44396)
146:(x,y) = (-3.32699 , 1.68925)
147:(x,y) = (-4.24053 , 2.09599)
148:(x,y) = (-4.20563 , 1.0966)
149:(x,y) = (-3.21537 , 1.23577)
150:(x,y) = (-3.97008 , 0.57971)
151:(x,y) = (-3.48527 , 1.45433)
152:(x,y) = (-3.00046 , 2.32895)
153:(x,y) = (-2.1813 , 2.90253)
154:(x,y) = (-2.97994 , 3.50434)
155:(x,y) = (-2.11391 , 4.00434)
156:(x,y) = (-3.10646 , 4.12621)
157:(x,y) = (-3.9355 , 3.56702)
158:(x,y) = (-4.72351 , 4.18268)
159:(x,y) = (-4.81066 , 5.17887)
160:(x,y) = (-5.46672 , 4.42416)
161:(x,y) = (-6.46429 , 4.35441)
162:(x,y) = (-5.55074 , 3.94767)
163:(x,y) = (-5.6379 , 4.94387)
164:(x,y) = (-6.62559 , 5.1003)
165:(x,y) = (-5.71928 , 4.67768)
166:(x,y) = (-6.48532 , 5.32047)
167:(x,y) = (-7.11464 , 4.54332)
168:(x,y) = (-6.2011 , 4.13659)
169:(x,y) = (-5.26752 , 4.49495)
170:(x,y) = (-5.12834 , 3.50469)
171:(x,y) = (-5.91636 , 4.12035)
172:(x,y) = (-6.19199 , 3.15909)
173:(x,y) = (-5.1926 , 3.12419)
174:(x,y) = (-5.43452 , 2.15389)
175:(x,y) = (-5.55639 , 1.16134)
176:(x,y) = (-5.11802 , 0.262551)
177:(x,y) = (-5.70581 , 1.07157)
178:(x,y) = (-5.19077 , 1.92874)
179:(x,y) = (-5.01712 , 2.91354)
180:(x,y) = (-4.0226 , 3.01807)
181:(x,y) = (-4.90555 , 3.48754)
182:(x,y) = (-5.69356 , 4.1032)
183:(x,y) = (-5.31895 , 5.03039)
184:(x,y) = (-6.30922 , 4.89122)
185:(x,y) = (-7.22972 , 5.28195)
186:(x,y) = (-6.3637 , 4.78195)
187:(x,y) = (-6.96551 , 3.98331)
188:(x,y) = (-5.98389 , 4.17412)
189:(x,y) = (-6.35849 , 5.1013)
190:(x,y) = (-5.51044 , 4.57138)
191:(x,y) = (-6.01044 , 3.70536)
192:(x,y) = (-5.57207 , 2.80656)
193:(x,y) = (-6.56964 , 2.87632)
194:(x,y) = (-7.46064 , 2.42233)
195:(x,y) = (-6.52706 , 2.06396)
196:(x,y) = (-7.40168 , 2.54877)
197:(x,y) = (-6.42731 , 2.32382)
198:(x,y) = (-7.28448 , 1.80878)
199:(x,y) = (-6.28448 , 1.80878)
200:(x,y) = (-5.29421 , 1.94796)
201:(x,y) = (-4.29436 , 1.96541)
202:(x,y) = (-5.08238 , 2.58107)
203:(x,y) = (-5.77703 , 3.30041)
204:(x,y) = (-6.40635 , 2.52326)
205:(x,y) = (-5.61834 , 3.13893)
206:(x,y) = (-4.81971 , 3.74074)
207:(x,y) = (-5.79408 , 3.96569)
208:(x,y) = (-4.98506 , 4.55348)
209:(x,y) = (-5.10693 , 5.54602)
210:(x,y) = (-5.60693 , 6.41205)
211:(x,y) = (-4.87558 , 7.09405)
212:(x,y) = (-5.39061 , 7.95121)
213:(x,y) = (-5.52979 , 6.96095)
214:(x,y) = (-4.57348 , 6.66857)
215:(x,y) = (-5.57333 , 6.65112)
